Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
02/01/2025,Vente,"225300,00",1660.0,CHAVEYRIAT,1,Appartement,103.0,7.0,313.0
14/03/2025,Vente,"105000,00",1560.0,SAINT-NIZIER-LE-BOUCHOUX,1,Maison,108.0,4.0,3669.0
14/02/2025,Vente,"193000,00",1290.0,CORMORANCHE-SUR-SAONE,1,Maison,120.0,3.0,912.0
29/01/2025,Vente,"250000,00",1570.0,FEILLENS,1,Maison,140.0,5.0,370.0
29/01/2025,Vente,"194000,00",1270.0,COLIGNY,1,Maison,110.0,4.0,671.0
03/03/2025,Vente,"239000,00",1960.0,PERONNAS,1,Maison,88.0,4.0,891.0
20/01/2025,Vente,"205000,00",1340.0,SAINT-DIDIER-D AUSSIAT,1,Maison,98.0,4.0,753.0
24/01/2025,Vente,"215000,00",1750.0,REPLONGES,1,Maison,89.0,5.0,526.0
21/01/2025,Vente,"810000,00",1170.0,ECHENEVEX,1,Maison,123.0,5.0,503.0
07/03/2025,Vente,"305000,00",1580.0,IZERNORE,1,Maison,150.0,5.0,1770.0
06/01/2025,Vente,"425000,00",1390.0,RANCE,1,Maison,110.0,5.0,500.0
25/02/2025,Vente,"279000,00",1290.0,SAINT-ANDRE-D HUIRIAT,1,Maison,115.0,5.0,797.0
15/01/2025,Vente,"275000,00",1540.0,VONNAS,1,Maison,146.0,7.0,791.0
22/01/2025,Vente,"230000,00",1350.0,CULOZ-BEON,1,Maison,88.0,5.0,954.0
13/01/2025,Vente,"165000,00",1290.0,SAINT-JEAN-SUR-VEYLE,1,Maison,81.0,4.0,378.0
10/03/2025,Vente,"467840,00",1480.0,JASSANS-RIOTTIER,1,Maison,128.0,7.0,1032.0
06/01/2025,Vente,"483000,00",1700.0,MIRIBEL,1,Maison,104.0,4.0,1025.0
06/01/2025,Vente,"215000,00",1150.0,LAGNIEU,1,Maison,78.0,4.0,83.0
27/02/2025,Vente,"280000,00",1470.0,MONTAGNIEU,1,Maison,94.0,4.0,236.0
06/01/2025,Vente,"370000,00",1280.0,PREVESSIN-MOENS,1,Maison,100.0,3.0,192.0
05/02/2025,Vente,"290000,00",1600.0,SAINT-DIDIER-DE-FORMANS,1,Maison,92.0,4.0,1131.0
11/03/2025,Vente,"300000,00",1190.0,REYSSOUZE,1,Maison,150.0,4.0,636.0
22/01/2025,Vente,"375000,00",1660.0,VANDEINS,1,Maison,129.0,6.0,700.0
12/02/2025,Vente,"262000,00",1290.0,GRIEGES,1,Maison,104.0,5.0,779.0
13/01/2025,Vente,"245000,00",1340.0,FOISSIAT,1,Maison,105.0,5.0,700.0
14/02/2025,Vente,"190000,00",1000.0,SAINT-DENIS-LES-BOURG,1,Maison,100.0,5.0,660.0
19/02/2025,Vente,"248000,00",1090.0,MONTMERLE-SUR-SAONE,1,Maison,99.0,6.0,850.0
10/01/2025,Vente,"132000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,75.0,3.0,108.0
20/02/2025,Vente,"237000,00",1400.0,SANDRANS,1,Maison,63.0,2.0,1400.0
06/01/2025,Vente,"213000,00",1100.0,OYONNAX,1,Maison,78.0,4.0,45.0
14/02/2025,Vente,"675000,00",1210.0,ORNEX,1,Maison,107.0,4.0,727.0
24/01/2025,Vente,"305000,00",1300.0,PARVES ET NATTAGES,1,Maison,140.0,5.0,918.0
22/01/2025,Vente,"340000,00",1500.0,DOUVRES,1,Maison,168.0,4.0,803.0
20/02/2025,Vente,"188000,00",1000.0,SAINT-DENIS-LES-BOURG,1,Maison,79.0,5.0,620.0
18/02/2025,Vente,"364000,00",1700.0,BEYNOST,1,Maison,89.0,4.0,500.0
25/02/2025,Vente,"388685,00",1570.0,FEILLENS,1,Maison,87.0,5.0,1002.0
06/02/2025,Vente,"199000,00",1200.0,BILLIAT,1,Maison,49.0,3.0,250.0
06/02/2025,Vente,"455000,00",1210.0,ORNEX,1,Maison,104.0,5.0,1001.0
31/01/2025,Vente,"167000,00",1340.0,MARSONNAS,1,Maison,74.0,3.0,5154.0
06/01/2025,Vente,"213000,00",1100.0,OYONNAX,1,Maison,78.0,4.0,73.0
03/03/2025,Vente,"200000,00",1960.0,PERONNAS,1,Maison,82.0,5.0,709.0
14/02/2025,Vente,"172000,00",1110.0,BRENOD,1,Maison,103.0,4.0,1145.0
28/02/2025,Vente,"376000,00",1390.0,TRAMOYES,1,Maison,130.0,6.0,825.0
07/02/2025,Vente,"340000,00",1500.0,AMBRONAY,1,Maison,168.0,4.0,227.0
13/01/2025,Vente,"193500,00",1150.0,SAULT-BRENAZ,1,Maison,130.0,3.0,73.0
12/02/2025,Vente,"216000,00",1310.0,POLLIAT,1,Maison,140.0,5.0,562.0
03/02/2025,Vente,"534000,00",1170.0,ECHENEVEX,1,Maison,88.0,4.0,352.0
14/02/2025,Vente,"368000,00",1130.0,LE POIZAT-LALLEYRIAT,1,Maison,141.0,5.0,700.0
16/01/2025,Vente,"259000,00",1660.0,CHAVEYRIAT,1,Maison,90.0,3.0,1650.0
08/01/2025,Vente,"267287,00",1120.0,MONTLUEL,1,Maison,78.0,3.0,191.0
13/01/2025,Vente,"155000,00",1150.0,LAGNIEU,1,Maison,50.0,2.0,44.0
22/01/2025,Vente,"190000,00",1500.0,CHATEAU-GAILLARD,1,Maison,130.0,5.0,143.0
16/01/2025,Vente,"550698,00",1170.0,ECHENEVEX,1,Maison,17.0,1.0,454.0
08/01/2025,Vente,"215000,00",1230.0,SAINT-RAMBERT-EN-BUGEY,1,Maison,88.0,3.0,685.0
29/01/2025,Vente,"1155000,00",1170.0,GEX,1,Appartement,18.0,1.0,515.0
12/03/2025,Vente,"145000,00",1160.0,PRIAY,1,Appartement,45.0,1.0,137.0
14/01/2025,Vente,"436000,00",1310.0,MONTRACOL,1,Maison,100.0,5.0,670.0
