Date mutation,Nature mutation,Valeur fonciere,Code postal,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
23/01/2025,Vente,"230000,00",1320.0,CHALAMONT,1,Maison,94.0,4.0,7085.0
17/01/2025,Vente,"355000,00",1480.0,VILLENEUVE,1,Maison,97.0,5.0,982.0
15/01/2025,Vente,"412000,00",1600.0,TREVOUX,1,Maison,65.0,3.0,785.0
16/01/2025,Vente,"400000,00",1600.0,MISERIEUX,1,Maison,183.0,5.0,754.0
16/01/2025,Vente,"400000,00",1600.0,MISERIEUX,1,Maison,183.0,5.0,500.0
13/01/2025,Vente,"75000,00",1120.0,MONTLUEL,1,Maison,100.0,4.0,800.0
13/01/2025,Vente,"75000,00",1120.0,MONTLUEL,1,Maison,100.0,4.0,1117.0
24/01/2025,Vente,"292098,00",1800.0,LE MONTELLIER,1,Maison,157.0,6.0,220.0
17/01/2025,Vente,"120000,00",1300.0,AMBLEON,1,Maison,54.0,3.0,242.0
17/01/2025,Vente,"557900,00",1480.0,ARS-SUR-FORMANS,1,Maison,149.0,6.0,500.0
17/01/2025,Vente,"557900,00",1480.0,ARS-SUR-FORMANS,1,Maison,149.0,6.0,1200.0
21/01/2025,Vente,"249000,00",1400.0,CHATILLON-SUR-CHALARONNE,1,Maison,88.0,5.0,728.0
13/01/2025,Vente,"475000,00",1600.0,SAINT-BERNARD,1,Maison,100.0,4.0,500.0
24/01/2025,Vente,"124875,00",1340.0,MONTREVEL-EN-BRESSE,1,Maison,71.0,3.0,550.0
24/01/2025,Vente,"124875,00",1340.0,MONTREVEL-EN-BRESSE,1,Maison,71.0,3.0,500.0
16/01/2025,Vente,"55000,00",1270.0,SALAVRE,1,Maison,53.0,2.0,265.0
23/01/2025,Vente,"20000,00",1560.0,SAINT-JULIEN-SUR-REYSSOUZE,1,Maison,92.0,4.0,181.0
23/01/2025,Vente,"85000,00",1230.0,TENAY,1,Appartement,33.0,1.0,96.0
23/01/2025,Vente,"85000,00",1230.0,TENAY,1,Appartement,113.0,5.0,96.0
24/01/2025,Vente,"260000,00",1700.0,BEYNOST,1,Maison,109.0,5.0,584.0
15/01/2025,Vente,"285000,00",1540.0,VONNAS,1,Maison,99.0,4.0,1029.0
15/01/2025,Vente,"275000,00",1540.0,VONNAS,1,Maison,146.0,7.0,791.0
20/01/2025,Vente,"315000,00",1480.0,VILLENEUVE,1,Maison,94.0,4.0,246.0
10/01/2025,Vente,"132000,00",1400.0,NEUVILLE-LES-DAMES,1,Maison,75.0,3.0,108.0
07/01/2025,Vente,"190000,00",1420.0,SEYSSEL,1,Maison,57.0,4.0,57.0
06/01/2025,Vente,"330000,00",1350.0,CULOZ-BEON,1,Maison,103.0,4.0,1037.0
29/01/2025,Vente,"244900,00",1750.0,REPLONGES,1,Maison,92.0,4.0,471.0
09/01/2025,Vente,"314000,00",1240.0,MARLIEUX,1,Maison,119.0,4.0,800.0
09/01/2025,Vente,"314000,00",1240.0,MARLIEUX,1,Maison,119.0,4.0,3089.0
15/01/2025,Vente,"120000,00",1110.0,BRENOD,1,Maison,120.0,6.0,215.0
16/01/2025,Vente,"255000,00",1300.0,BELLEY,1,Maison,99.0,6.0,1254.0
20/01/2025,Vente,"315000,00",1300.0,CUZIEU,1,Maison,106.0,4.0,1000.0
20/01/2025,Vente,"315000,00",1300.0,CUZIEU,1,Maison,106.0,4.0,617.0
13/01/2025,Vente,"230000,00",1100.0,GEOVREISSET,1,Maison,95.0,5.0,208.0
13/01/2025,Vente,"413000,00",1460.0,BRION,1,Maison,135.0,5.0,899.0
24/01/2025,Vente,"305000,00",1300.0,PARVES ET NATTAGES,1,Maison,140.0,5.0,918.0
09/01/2025,Vente,"338000,00",1540.0,VONNAS,1,Maison,131.0,6.0,500.0
09/01/2025,Vente,"338000,00",1540.0,VONNAS,1,Maison,131.0,6.0,972.0
